StudentID,Name,Gender,Age,DOB,Grade,Section,City,ParentalEducationLevel,InternetQuality,DeviceUsedForStudy,LearningStyle,BehaviourRating,ClubMember,MathScore,PhysicsScore,ChemistryScore,BiologyScore,EnglishScore,ComputerScore,AverageMarks,GPA,Passed,AttendancePercent,TotalFees,FeesPaid,RemainingFees,StudyHoursPerWeek,TestPreparation,HealthFactor,TransportRequired,OnlineClassParticipation,AssignmentsSubmitted,ProjectsCompleted
S2000,Ritika Gupta,Female,19,2006-05-15,10,C,Kolkata,Primary,Good,Laptop,Auditory,Excellent,Music,70,96,22,74,81,85,71.33,7.13,No,59.7,50000,27458,22542,17,No,Average,Yes,6.0,42,9
S2001,Maya Gupta,Female,16,2009-04-30,12,E,Bengaluru,Primary,Excellent,Phone,Kinesthetic,Average,Sports,81,65,46,74,32,75,62.17,6.22,No,62.4,60000,2966,57034,10,Yes,Good,Yes,4.9,16,10
S2002,Aarav Joshi,Female,19,2006-07-01,11,D,Kolkata,Postgraduate,Poor,None,Auditory,Average,Drama,53,76,34,93,33,69,59.67,5.97,Yes,95.7,40000,6787,33213,6,No,Poor,No,9.2,44,2
S2003,Aditya Agarwal,Female,19,2006-10-03,12,E,Pune,Postgraduate,Average,Tablet,Auditory,Poor,None,30,47,98,69,32,84,60.0,6.0,No,85.9,30000,17402,12598,16,Yes,Poor,Yes,4.9,22,9
S2004,Kavya Nair,Male,16,2009-11-10,9,A,Delhi,None,Average,Phone,Auditory,Excellent,Robotics,57,26,30,85,47,46,48.5,4.85,No,72.6,40000,16253,23747,4,No,Poor,Yes,7.9,33,0
S2005,Ishaan Nair,Female,19,2006-08-05,9,A,Bengaluru,Graduate,Excellent,Tablet,Reading/Writing,Excellent,NSS,93,85,47,52,50,72,66.5,6.65,Yes,59.5,80000,54613,25387,24,No,Good,Yes,2.6,33,5
S2006,Ishaan Bose,Female,15,2010-06-09,11,E,Chennai,Postgraduate,Average,Laptop,Reading/Writing,Excellent,Drama,63,58,40,81,78,88,68.0,6.8,Yes,69.9,50000,4233,45767,17,Yes,Good,Yes,8.8,50,6
S2007,Arjun Dutta,Male,17,2008-09-17,9,D,Chennai,Primary,Good,None,Visual,Poor,None,20,90,74,65,83,77,68.17,6.82,No,91.2,100000,61655,38345,4,No,Poor,No,3.1,22,10
S2008,Zoya Khanna,Other,14,2011-02-14,12,A,Pune,Postgraduate,Excellent,Phone,Auditory,Average,NCC,41,72,91,84,96,92,79.33,7.93,Yes,75.2,30000,27570,2430,5,Yes,Poor,Yes,8.5,26,8
S2009,Aarav Gupta,Female,15,2010-04-12,9,B,Kolkata,Graduate,Excellent,None,Kinesthetic,Excellent,NCC,41,63,22,34,75,72,51.17,5.12,No,85.4,30000,22417,7583,11,Yes,Average,Yes,6.7,32,6
S2010,Siddharth Bhatia,Female,16,2008-12-17,11,B,Pune,None,Poor,Laptop,Visual,Average,Coding,21,77,84,35,88,70,62.5,6.25,No,81.4,50000,28572,21428,22,Yes,Good,No,4.0,46,7
S2011,Rohit Gupta,Other,15,2010-11-27,9,A,Hyderabad,Primary,Excellent,Tablet,Auditory,Excellent,NCC,61,51,23,70,66,33,50.67,5.07,No,94.5,80000,31304,48696,29,Yes,Poor,Yes,3.3,47,7
S2012,Kavya Kumar,Male,18,2007-09-10,11,A,Nagpur,Secondary,Good,Laptop,Auditory,Excellent,NSS,56,71,100,32,36,60,59.17,5.92,No,62.1,60000,13235,46765,12,Yes,Poor,No,4.1,38,5
S2013,Tanvi Singh,Female,15,2010-03-24,9,B,Nagpur,Secondary,Good,Tablet,Visual,Poor,Debate,83,33,43,68,78,86,65.17,6.52,Yes,74.7,100000,7303,92697,12,No,Good,No,3.4,13,7
S2014,Kavya Khanna,Male,16,2009-07-13,12,E,Chennai,Secondary,Average,None,Kinesthetic,Good,Sports,38,34,81,30,36,91,51.67,5.17,No,73.2,60000,36197,23803,17,No,Average,No,3.8,41,3
S2015,Neha Gupta,Male,14,2011-04-07,9,A,Bengaluru,Primary,Poor,None,Visual,Good,Robotics,91,81,94,20,38,59,63.83,6.38,No,65.5,100000,61823,38177,27,Yes,Good,Yes,1.3,48,7
S2016,Krisha Agarwal,Other,17,2007-12-30,11,D,Delhi,Secondary,Good,None,Auditory,Excellent,Music,65,67,26,26,89,85,59.67,5.97,No,91.8,100000,43465,56535,18,Yes,Average,No,4.0,34,3
S2017,Zoya Singh,Male,14,2011-09-19,10,C,Chennai,Secondary,Average,Laptop,Reading/Writing,Excellent,NCC,78,63,42,95,64,73,69.17,6.92,Yes,98.4,80000,36683,43317,24,No,Average,Yes,1.4,35,2
S2018,Karan Joshi,Other,14,2011-08-08,10,D,Mumbai,None,Excellent,Laptop,Auditory,Poor,Music,70,69,61,90,34,59,63.83,6.38,Yes,92.9,80000,1988,78012,25,No,Average,Yes,4.2,33,6
S2019,Krisha Nair,Male,16,2009-04-06,12,B,Bengaluru,Secondary,Poor,Tablet,Auditory,Average,Drama,94,51,95,46,76,100,77.0,7.7,Yes,60.2,50000,7682,42318,17,No,Average,No,2.9,15,3
S2020,Aditya Shah,Other,17,2008-11-07,10,C,Delhi,None,Average,Tablet,Reading/Writing,Excellent,Music,43,20,44,26,79,38,41.67,4.17,No,95.5,80000,17185,62815,20,Yes,Average,No,4.6,48,0
S2021,Riya Bose,Male,18,2007-01-11,9,B,Pune,Secondary,Poor,Laptop,Visual,Poor,NSS,90,38,86,28,98,40,63.33,6.33,No,83.3,40000,14652,25348,14,Yes,Poor,Yes,7.2,26,2
S2022,Krisha Reddy,Other,14,2011-11-17,11,A,Kolkata,Graduate,Good,Phone,Reading/Writing,Poor,NSS,75,32,85,29,77,44,57.0,5.7,No,91.5,50000,38056,11944,28,No,Good,No,4.8,12,7
S2023,Krisha Verma,Female,14,2011-11-04,12,B,Hyderabad,Primary,Poor,Laptop,Reading/Writing,Poor,Music,84,22,61,56,93,32,58.0,5.8,No,84.3,60000,26746,33254,21,Yes,Poor,No,9.4,24,4
S2024,Vihaan Sharma,Male,17,2008-04-30,10,D,Nagpur,None,Good,Tablet,Auditory,Poor,NSS,51,24,93,51,83,80,63.67,6.37,No,56.1,50000,24734,25266,25,No,Good,No,3.5,29,1
S2025,Siddharth Bose,Male,16,2009-05-04,9,B,Bengaluru,None,Good,Tablet,Visual,Excellent,Robotics,21,94,94,21,62,83,62.5,6.25,No,69.8,100000,36871,63129,18,Yes,Average,Yes,7.0,15,10
S2026,Zoya Mehta,Female,15,2010-03-10,9,E,Mumbai,None,Good,Laptop,Kinesthetic,Average,None,34,54,22,88,44,54,49.33,4.93,No,60.7,60000,7053,52947,23,Yes,Average,Yes,2.3,24,7
S2027,Neha Nair,Male,17,2008-09-09,9,D,Bengaluru,Secondary,Excellent,Tablet,Kinesthetic,Poor,Robotics,56,60,90,80,89,57,72.0,7.2,Yes,67.8,30000,26387,3613,6,No,Average,No,6.5,20,9
S2028,Vihaan Gupta,Male,15,2010-09-12,10,B,Mumbai,None,Good,Phone,Reading/Writing,Poor,Music,76,96,89,49,86,34,71.67,7.17,Yes,64.8,40000,32903,7097,16,No,Good,Yes,5.9,41,3
S2029,Tanvi Gupta,Female,18,2007-02-03,11,E,Mumbai,Postgraduate,Average,Tablet,Auditory,Poor,Music,65,48,84,72,30,91,65.0,6.5,No,77.2,30000,18389,11611,18,Yes,Average,No,7.5,11,3
S2030,Arjun Dutta,Other,16,2009-09-27,11,A,Bengaluru,Graduate,Excellent,Phone,Auditory,Poor,Drama,94,23,25,28,50,52,45.33,4.53,No,53.8,50000,33661,16339,23,Yes,Poor,No,3.0,24,6
S2031,Siddharth Dutta,Other,18,2006-12-02,11,E,Nagpur,Graduate,Poor,Tablet,Auditory,Excellent,Drama,72,25,60,63,90,82,65.33,6.53,No,65.1,30000,1674,28326,22,No,Average,Yes,1.0,12,6
S2032,Neha Khanna,Male,17,2008-03-31,12,A,Delhi,None,Excellent,Laptop,Auditory,Good,NSS,34,98,93,27,53,74,63.17,6.32,No,99.5,50000,29245,20755,16,Yes,Average,No,5.1,21,4
S2033,Vihaan Dutta,Female,19,2005-12-04,10,C,Bengaluru,Graduate,Excellent,Laptop,Visual,Average,Debate,40,20,97,57,85,49,58.0,5.8,No,85.6,80000,48535,31465,17,No,Poor,No,6.8,24,1
S2034,Vihaan Nair,Male,15,2010-07-25,10,C,Bengaluru,Primary,Good,Phone,Reading/Writing,Average,Music,92,83,95,40,73,82,77.5,7.75,Yes,72.0,30000,10316,19684,24,Yes,Good,No,3.8,41,1
S2035,Karan Joshi,Female,16,2009-10-16,12,B,Pune,Postgraduate,Average,Phone,Visual,Excellent,NCC,40,47,93,20,33,67,50.0,5.0,No,78.8,40000,6958,33042,15,No,Average,No,7.2,12,10
S2036,Aditya Kapoor,Male,18,2006-12-15,12,B,Delhi,Postgraduate,Average,None,Auditory,Poor,NSS,60,77,84,53,80,68,70.33,7.03,Yes,58.7,100000,62887,37113,26,No,Good,No,4.7,40,7
